text;sentiment
Terima kasih Batang atas respon cepatnya.;positive
Banyak pungli di jalanan Jepara, tolong ditindak.;negative
Kondisi keamanan di Banyumas masih terus dipantau.;neutral
Program baksos Polres Karanganyar sangat menyentuh hati.;positive
Proses bikin SIM di Temanggung dipersulit terus.;negative
Polisi sedang melakukan sosialisasi di desa Temanggung.;neutral
Alhamdulillah, pengamanan di Jepara sangat kondusif.;positive
Warga merasa tidak aman di Salatiga karena jarang patroli.;negative
Ada apel pagi anggota Polres Semarang hari ini.;neutral
Polisi Tegal sangat profesional dalam bertugas.;positive
Banyak pungli di jalanan Wonogiri, tolong ditindak.;negative
Kegiatan patroli rutin di wilayah Temanggung sedang berjalan.;neutral
Senang sekali laporan saya di Purwokerto diproses cepat.;positive
Polisi di Banjarnegara datangnya lama sekali saat ada kejadian.;negative
Informasi lebih lanjut akan disampaikan Polres Cilacap.;neutral
Respon aduan di Klaten sangat luar biasa baiknya.;positive
Sangat disayangkan penanganan kasus di Wonosobo berbelit-belit.;negative
Polisi sedang melakukan sosialisasi di desa Wonosobo.;neutral
Terima kasih Sukoharjo atas respon cepatnya.;positive
Aplikasi pengaduan di Purworejo sering error dan tidak berguna.;negative
Kegiatan patroli rutin di wilayah Semarang sedang berjalan.;neutral
Polisi Demak sangat profesional dalam bertugas.;positive
Aplikasi pengaduan di Magelang sering error dan tidak berguna.;negative
Petugas sedang mengolah TKP di daerah Blora.;neutral
Respon aduan di Banyumas sangat luar biasa baiknya.;positive
Proses bikin SIM di Pemalang dipersulit terus.;negative
Ada apel pagi anggota Polres Demak hari ini.;neutral
Kinerja aparat di Purworejo patut diacungi jempol.;positive
Petugas di Jepara kurang ramah saat melayani warga.;negative
Petugas sedang mengolah TKP di daerah Pekalongan.;neutral
Senang sekali laporan saya di Ungaran diproses cepat.;positive
Laporan kehilangan di Batang tidak ada kejelasan.;negative
Ada apel pagi anggota Polres Demak hari ini.;neutral
Program baksos Polres Wonosobo sangat menyentuh hati.;positive
Laporan kehilangan di Solo tidak ada kejelasan.;negative
Lalu lintas di pusat kota Kudus terpantau ramai.;neutral
Pelayanan di Polres Pekalongan sangat memuaskan.;positive
