text;topic
Aksi begal di Pemalang meresahkan pengguna jalan malam.;kriminal
Perbaikan jembatan di Ungaran menyebabkan antrean panjang.;lalu_lintas
Sosialisasi aplikasi pelayanan publik Polri di Ungaran.;pelayanan
Bantuan sembako disalurkan polisi untuk korban banjir di Purwokerto.;sosial
Kisah inspiratif polisi yang mengajar anak-anak di Blora.;lainnya
Kasus penipuan online marak menyerang warga Cilacap.;kriminal
Kecelakaan beruntun melibatkan bus di jalur Klaten.;lalu_lintas
Persyaratan pembuatan SKCK di Polres Brebes cukup mudah.;pelayanan
Penyuluhan bahaya radikalisme kepada pemuda desa Kudus.;sosial
Event lari bersama warga di stadion Surakarta berlangsung meriah.;lainnya
Tim Resmob berhasil meringkus pelaku jambret di Ungaran.;kriminal
Himbauan keselamatan berkendara di jalan raya Banyumas.;lalu_lintas
Panduan lapor kehilangan barang di wilayah Pemalang.;pelayanan
Bantuan sembako disalurkan polisi untuk korban banjir di Purbalingga.;sosial
Kisah inspiratif polisi yang mengajar anak-anak di Kudus.;lainnya
Aksi begal di Surakarta meresahkan pengguna jalan malam.;kriminal
Perbaikan jembatan di Rembang menyebabkan antrean panjang.;lalu_lintas
Sosialisasi aplikasi pelayanan publik Polri di Banjarnegara.;pelayanan
Bantuan sembako disalurkan polisi untuk korban banjir di Purworejo.;sosial
Kisah inspiratif polisi yang mengajar anak-anak di Demak.;lainnya
Aksi begal di Semarang meresahkan pengguna jalan malam.;kriminal
Perbaikan jembatan di Blora menyebabkan antrean panjang.;lalu_lintas
Panduan lapor kehilangan barang di wilayah Pemalang.;pelayanan
Penyuluhan bahaya radikalisme kepada pemuda desa Salatiga.;sosial
Suasana sore hari yang tenang di alun-alun Jepara.;lainnya
Terjadi aksi pencurian motor di daerah Brebes.;kriminal
Himbauan keselamatan berkendara di jalan raya Karanganyar.;lalu_lintas
Ruang pelayanan di Polsek Wonogiri kini lebih nyaman.;pelayanan
Demo mahasiswa di depan gedung DPRD Banjarnegara berjalan damai.;sosial
Pasar tradisional di Rembang mulai ramai pengunjung.;lainnya
Ditemukan korban pembunuhan di pinggir jalan Pekalongan.;kriminal
Perbaikan jembatan di Wonogiri menyebabkan antrean panjang.;lalu_lintas
Persyaratan pembuatan SKCK di Polres Sukoharjo cukup mudah.;pelayanan
Demo mahasiswa di depan gedung DPRD Pekalongan berjalan damai.;sosial
Suasana sore hari yang tenang di alun-alun Solo.;lainnya
Terjadi aksi pencurian motor di daerah Wonogiri.;kriminal
Perbaikan jembatan di Karanganyar menyebabkan antrean panjang.;lalu_lintas
Sosialisasi aplikasi pelayanan publik Polri di Boyolali.;pelayanan
Warga gotong royong bersama polisi membersihkan selokan Grobogan.;sosial
Suasana sore hari yang tenang di alun-alun Klaten.;lainnya
Tim Resmob berhasil meringkus pelaku jambret di Demak.;kriminal
Perbaikan jembatan di Boyolali menyebabkan antrean panjang.;lalu_lintas
Masyarakat mengapresiasi kemudahan administrasi di Polres Jepara.;pelayanan
Pengamanan ibadah minggu di gereja-gereja wilayah Semarang.;sosial
Cuaca hari ini diperkirakan hujan di seputar Batang.;lainnya
Ditemukan korban pembunuhan di pinggir jalan Kebumen.;kriminal
Kecelakaan beruntun melibatkan bus di jalur Wonosobo.;lalu_lintas
Masyarakat mengapresiasi kemudahan administrasi di Polres Solo.;pelayanan
Demo mahasiswa di depan gedung DPRD Banjarnegara berjalan damai.;sosial
Potret kebersamaan warga saat ronda malam di Sragen.;lainnya
Kasus penipuan online marak menyerang warga Batang.;kriminal
Himbauan keselamatan berkendara di jalan raya Grobogan.;lalu_lintas
Ruang pelayanan di Polsek Banjarnegara kini lebih nyaman.;pelayanan
Pengamanan ibadah minggu di gereja-gereja wilayah Wonosobo.;sosial
Pasar tradisional di Tegal mulai ramai pengunjung.;lainnya
Ditemukan korban pembunuhan di pinggir jalan Semarang.;kriminal
Perbaikan jembatan di Tegal menyebabkan antrean panjang.;lalu_lintas
